4944	1371860	4767036	4882	4386951
4944	1246645	4837110	3906	4386219
4944	1335530	4775994	3906	4386219
4944	1361480	4754970	3906	4386219
4944	1344935	4778718	3906	4386219
4944	1167170	4785726	3906	4386219
4944	1291085	4729668	3906	4386219
4944	1393270	4771320	3906	4386219
4944	1343965	4769766	43945	4384266
4944	1347530	4811802	43945	4384266
4944	1403330	4763922	43945	4384266
4944	1368295	4773654	43945	4384266
4944	1344935	4770930	43945	4384266
4944	1211935	4777548	43945	4384266
4944	1194095	4733562	43945	4384266
4944	1461720	4835940	43945	4385242
4944	1491890	4732002	24902	4385242
4944	1174305	4837110	24902	4385242
4944	1346235	4770930	24902	4385242
4944	1381270	4763148	24902	4385242
4944	1404625	4767036	24902	4385242
4944	1147380	4773264	24902	4385242
4944	1265135	4806354	24902	4385242
4944	1371215	4756530	13671	4385730
4944	1490265	4730058	13671	4385730
4944	1308605	4826598	13671	4385730
4944	1326445	4773654	13671	4385730
4944	1411440	4766262	13671	4385730
4944	1370890	4768986	13671	4385730
4944	1375755	4776384	13671	4385730
4944	1331635	4805574	9765	4386707
4944	1431875	4739010	9765	4386707
4944	1247295	4753416	9765	4386707
4944	1309580	4860072	9765	4386707
4944	1393595	4729668	9765	4386707
4944	1490265	4754970	9765	4386707
4944	1019245	4763922	9765	4386707
4944	1401705	4809858	7812	4386707
4944	1492860	4777548	7812	4386707
4944	1491890	4730838	7812	4386707
4944	1491240	4748352	7812	4386707
4944	1490265	4730448	7812	4386707
4944	1491565	4749522	7812	4386707
4944	1370565	4765482	7812	4386707
4944	1242430	4786890	7812	4386707
4944	1377700	4767426	5859	4386951
4944	1351425	4783386	5859	4386951
4944	1119160	4748352	5859	4386951
4944	1490915	4729668	5859	4386951
4944	1485725	4797012	5859	4386951
4944	461610	5009166	5859	4386951
4944	1012435	4769766	5859	4386951
4944	1213555	4763148	3417	4386219
4944	1361480	4765482	3417	4386219
4944	1353370	4729278	3417	4386219
4944	1209665	4748352	3417	4386219
4944	1370565	4751466	3417	4386219
4944	1490915	4729668	3417	4386219
4944	1489615	4729668	3417	4386219
4944	1484750	4729278	3417	4386219
4944	1181440	4763922	0	4386707
4944	1358235	4769376	0	4386707
4944	1429930	4766652	0	4386707
4944	1363750	4825428	0	4386707
4944	1344615	4838274	0	4386707
4944	1490915	4808304	0	4386707
4944	1264485	4729278	0	4386707
4944	1294980	4777158	-5859	4385486
4944	1347210	4807914	-5859	4385486
4944	1226855	4753026	-5859	4385486
4944	1356615	4772880	-5859	4385486
4944	1376405	4749912	-5859	4385486
4944	1266110	4818810	-5859	4385486
